gh_id,name,topics,Topics Predicted,max similarity,min similarity,mean similarity,median similarity
83414669,cpp-playground,teaching,"teaching
materials science
base material
information transfer
concept
activity
Category:Academic disciplines",3.6375861597263857,3.6375861597263857,3.6375861597263857,3.6375861597263857
56680034,genenetwork2,"genetics
Python","software
work
database
mass media
written work
sport
communication medium",0.9985288301111273,0.6418538861723948,0.820191358141761,0.820191358141761
231038084,MPCC,"R
correlation","library science
library
work
mathematics
algorithm
computer science
information science",1.4403615823901665,1.1526795099383855,1.2965205461642761,1.2965205461642761
14387064,pubannotation,Ruby,"software
sociology
creative work
work
modding
social science
do it yourself",0.8649974374866046,0.8649974374866046,0.8649974374866046,0.8649974374866046
212904362,UniMath,mathematics,"mathematics
area of mathematics
social science
statistics
information science
property
biology",3.6375861597263857,3.6375861597263857,3.6375861597263857,3.6375861597263857
113264497,neo4j-to-reasoner,reasoner,"imatinib
carbon
chemical compound
medication
nitrogen
tyrosine-kinase inhibitor
essential medicine",1.55814461804655,1.55814461804655,1.55814461804655,1.55814461804655
260889871,dl-reasoner,"Rust
algorithms","mathematics
philosophy
library science
information science
natural language processing
computer science
sport",1.845826690498331,0.9295359586241757,1.3876813245612534,1.3876813245612534
161862375,biohack18,"plots
proteins
plants
Groovy","plant
botany
plant genetics
organism
root
biology
taxon",3.6375861597263857,1.1526795099383855,2.041755578799037,1.3350010667323402
171842501,biosample_jsonld,"docker
Ruby","Database theory
database
science
biology
branch of science
information science
natural science",0.9985288301111273,0.9295359586241757,0.9640323943676514,0.9640323943676514
257154635,bh20-seq-resource,"Python
HTML","project
activity
concept
GNU Project
automation
series
occupation",1.1526795099383855,0.6418538861723948,0.8972666980553902,0.8972666980553902
260966843,odgi,"genome
graphs","software
mathematics
computer science
statistics
graph theory
economics
artificial intelligence",1.55814461804655,1.2396908869280152,1.3989177524872827,1.3989177524872827
257545116,arvados,"Docker
biomedicine","software
science
work
concept
governance
philosophy
management",1.845826690498331,0.9985288301111273,1.422177760304729,1.422177760304729
150747903,termite_toolkit,"TERMite
Python","protein
BRCA1 DNA repair associated
Zinc finger, RING-type
Breast cancer type 1 susceptibility protein (BRCA1)
Zinc finger, RING-type, conserved site
Zinc finger, C3HC4 RING-type
BRCT domain",0.9295359586241757,0.9295359586241757,0.9295359586241757,0.9295359586241757
151696606,JavaTermiteStarter,"Java
Termite","text
written work
text corpus
work
software
collection
creative work",1.4403615823901665,0.9985288301111273,1.219445206250647,1.219445206250647
126086017,cwltool,Python,"software
interaction science
computer science
construction
automation
mathematics
entity",0.9295359586241757,0.9295359586241757,0.9295359586241757,0.9295359586241757
150911020,cwl-tes-temp,Python,"software
Google Compute Engine
Google Cloud Platform
written work
run-time system
application
computer",0.8043728156701697,0.8043728156701697,0.8043728156701697,0.8043728156701697
254755549,covid-19-Annotations-on-Structures,"annotation
Python","branch of science
science
biology
statistics
protein
cosmology
type of map",1.1526795099383855,0.6931471805599453,0.9229133452491654,0.9229133452491654
3103186,php-lib,libraries,"currency
peso
Philippine peso
money
Category:Currency
unit of measurement
medium of exchange",1.072636802264849,1.072636802264849,1.072636802264849,1.072636802264849
3103225,bio2rdf-scripts,Java,"chemistry
materials science
branch of science
software
biology
chemical compound
property",1.3350010667323402,1.3350010667323402,1.3350010667323402,1.3350010667323402
22713247,aida,"English
Shell","publication
mass media
linguistics
article
software
written work
work",1.55814461804655,1.1526795099383855,1.3554120639924676,1.3554120639924676
21820701,memetools,"Java
score","catalogue
communication medium
publication
mass media
written work
work
information",1.3350010667323402,1.1526795099383855,1.2438402883353628,1.2438402883353628
34799405,owlapi,"OWL
Java","concept
politics
metaclass
software
interaction science
teaching
logic",1.3350010667323402,0.8649974374866046,1.0999992521094724,1.0999992521094724
42526998,pythonontologysearch,"ontology
Python
searching","motor car
dashboard
control panel
user interface
steering wheel
motor vehicle
engine",0.9985288301111273,0.8649974374866046,0.9317631337988659,0.9317631337988659
238953196,my-react-form,"forms
demo
React","activity
design
project
series
action
specialty
concept",1.55814461804655,1.3350010667323402,1.446572842389445,1.446572842389445
157134523,python-ecology-lesson-es-1,"teaching
Python","Python
run-time system
software development
machine learning
computing platform
integrated development environment
forge",3.6375861597263857,0.6418538861723948,2.1397200229493905,2.1397200229493905
193684604,opengovernment,Ruby,"software
library science
construction
anthropology
engineering
area of mathematics
document",0.9295359586241757,0.9295359586241757,0.9295359586241757,0.9295359586241757
33901216,bioscholar-v1.0,reasoning,"database
photo library
archives
preservation
digital library
work
library",1.3350010667323402,1.3350010667323402,1.3350010667323402,1.3350010667323402
13978110,ProvToolbox,Java,"interaction science
human
mass media
anthropology
communication medium
social science
magazine",1.2396908869280152,1.2396908869280152,1.2396908869280152,1.2396908869280152
258719463,x-spreadsheet,"web
spreadsheet","interaction science
concept
entity
communication
mathematics
communication studies
mathematical concept",2.2512917986064953,1.3350010667323402,1.7931464326694178,1.7931464326694178
113915480,expert-pancake-aspnetcoreapp,ASP,"website
creative work
web page
digital media
World Wide Web
online publication
communication medium",0.8043728156701697,0.8043728156701697,0.8043728156701697,0.8043728156701697
223272173,generalizability,"psychology
Python
generalization","information
message
letter
abstract object
data
sign
communication medium",1.3350010667323402,0.8043728156701697,1.126354923110175,1.2396908869280152
248895581,Data-Science--Cheat-Sheet,tools,"computer science
machine learning
natural language processing
artificial intelligence
software
statistics
mathematics",0.9295359586241757,0.9295359586241757,0.9295359586241757,0.9295359586241757
223627473,Basketball_Analytics,"Python
basketball","biology
mathematics
geology
mathematical analysis
statistics
science
education",1.845826690498331,0.5930637220029626,1.2194452062506467,1.2194452062506467
